"","psrf.Point.est.","psrf.Upper.C.I."
"K_release_Liver",1.9207743342046,3.09482836068207
"K_max_Liver",2.57071658293095,5.16736732937058
"K_50_Liver",3.37685644900402,6.70302689089952
"n_Liver",1.8642985183909,5.05072854777391
"K_release_Spleen",3.36215079291079,6.30474584753154
"K_max_Spleen",1.74351050424902,2.7164962648883
"K_50_Spleen",2.82705740668728,5.05197103340866
"n_Spleen",6.26454274575539,11.6568078471321
"K_release_Kidney",4.09599671100334,8.31694656068206
"K_max_Kidney",2.7666828084668,4.88138961466897
"K_50_Kidney",8.31858095651842,16.7249982228802
"n_Kidney",2.0199559651367,3.7144289227111
"K_release_Lung",2.68288019848004,4.87335105985166
"K_max_Lung",2.19591534336697,4.81657149098598
"K_50_Lung",2.86360898450182,5.49664320056366
"n_Lung",1.76288037130382,2.87676112077748
"P_Liver",7.48510949759733,14.2743188711153
"P_Brain",1.45817264528501,2.25202408762868
"P_Kidney",2.06250138233789,3.53608070743241
"P_Spleen",3.24365672137716,5.476391568833
"P_Lung",2.0031713706633,3.61273409156984
"P_Rest",1.08084899636216,1.21711220073898
"DLC_Liver",3.35160662532308,12.0312183192134
"DLC_Brain",1.55597107144239,2.56075671038222
"DLC_Kidney",4.62664874273921,9.41201346689052
"DLC_Spleen",1.21677920809672,1.56192528874215
"DLC_Lung",3.15248745798888,8.38643767467624
"DLC_Rest",2.91271028535705,5.64273344037948
"Kbile",2.673343556711,4.64779141032417
"Kurine",1.97346706497255,3.82105685077761
"sig2",1.38049781069674,1.90366139065291
"sig_K_release_Liver",2.72500278610911,4.78936625623143
"sig_K_max_Liver",2.35696788532368,4.42430036609067
"sig_K_50_Liver",1.35680463990529,1.85866511543641
"sig_n_Liver",2.08998574628553,3.38759688978647
"sig_K_release_Spleen",1.89130350794747,3.22591288597155
"sig_K_max_Spleen",1.2611086058674,1.65910428012156
"sig_K_50_Spleen",2.08991198386992,3.4485153985191
"sig_n_Spleen",2.50610508647215,4.752916167669
"sig_K_release_Kidney",2.94482796197698,5.46687649606367
"sig_K_max_Kidney",1.51494299801997,2.24121693190073
"sig_K_50_Kidney",1.35831303593325,1.87539880149855
"sig_n_Kidney",1.80922290099861,2.89107897352662
"sig_K_release_Lung",2.71517198359457,4.90027747337323
"sig_K_max_Lung",1.0724329841043,1.19576262403978
"sig_K_50_Lung",2.03307422128131,3.37938066074309
"sig_n_Lung",1.69594798469881,2.62510615798439
"sig_P_Liver",2.28438591169583,3.92211638903022
"sig_P_Brain",1.76639222045182,2.80005675793224
"sig_P_Kidney",5.37026218553735,10.1079465158926
"sig_P_Spleen",2.04266656770705,3.23074130386419
"sig_P_Lung",1.86366851284011,2.93965892026326
"sig_P_Rest",1.25938752378441,1.66112563052794
"sig_DLC_Liver",2.34833317267602,4.37347082124314
"sig_DLC_Brain",2.41481476235111,3.96893201205718
"sig_DLC_Kidney",2.39391990218755,3.95745492971123
"sig_DLC_Spleen",1.72029868937913,2.63258854481955
"sig_DLC_Lung",2.53251765453029,4.70626002930363
"sig_DLC_Rest",1.29711012275488,1.73146564810947
"sig_Kbile",2.52780981294761,4.60180659692862
"sig_Kurine",2.39480678014179,4.30866640454858
